Ranking,Player Name,Team,Designation,Points
1,Abhishek Sharma,Sunrisers Hyderabad,Allrounder,873.6
2,Jofra Archer,Rajasthan Royals,Bowler,857.6
3,Vaibhav Sooryavanshi,Rajasthan Royals,Top order Batter,835.25
4,Eshan Malinga,Sunrisers Hyderabad,Bowler,822.0
5,Anshul Kamboj,Chennai Super Kings,Bowling Allrounder,807.7
6,Ishan Kishan,Sunrisers Hyderabad,Wicketkeeper Batter,780.0
7,KL Rahul,Delhi Capitals,Wicketkeeper Batter,769.5
8,Heinrich Klaasen,Sunrisers Hyderabad,Wicketkeeper Batter,729.75
9,Prince Yadav,Lucknow Super Giants,Bowler,725.6
10,Sanju Samson,Chennai Super Kings,Wicketkeeper Batter,721.0
11,Virat Kohli,Royal Challengers Bengaluru,Top order Batter,709.75
12,Nitish Kumar Reddy,Sunrisers Hyderabad,Allrounder,703.9
13,Ravi Bishnoi,Rajasthan Royals,Bowler,676.8
14,Prasidh Krishna,Gujarat Titans,Bowler,671.8
15,Priyansh Arya,Punjab Kings,Opening Batter,671.5
16,Jamie Overton,Chennai Super Kings,Bowling Allrounder,667.4
17,Prabhsimran Singh,Punjab Kings,Wicketkeeper Batter,662.0
18,Shreyas Iyer,Punjab Kings,Top order Batter,644.5
19,Shubman Gill,Gujarat Titans,Top order Batter,641.25
20,Bhuvneshwar Kumar,Royal Challengers Bengaluru,Bowler,636.1999999999999
21,Dhruv Jurel,Rajasthan Royals,Wicketkeeper Batter,630.0
22,Ravindra Jadeja,Rajasthan Royals,Allrounder,630.0
23,Kagiso Rabada,Gujarat Titans,Bowler,606.8
24,Rajat Patidar,Royal Challengers Bengaluru,Top order Batter,568.0
25,Jos Buttler,Gujarat Titans,Wicketkeeper Batter,554.0
26,Yashasvi Jaiswal,Rajasthan Royals,Opening Batter,545.75
27,Cooper Connolly,Punjab Kings,Allrounder,539.5
28,Rashid Khan,Gujarat Titans,Bowling Allrounder,534.3
29,Devdutt Padikkal,Royal Challengers Bengaluru,Top order Batter,519.75
30,Nandre Burger,Rajasthan Royals,Bowler,513.2
31,Phil Salt,Royal Challengers Bengaluru,Wicketkeeper Batter,508.25
32,Mohammed Shami,Lucknow Super Giants,Bowler,502.2
33,Sameer Rizvi,Delhi Capitals,Allrounder,493.25
34,Krunal Pandya,Royal Challengers Bengaluru,Allrounder,488.0
35,Tilak Varma,Mumbai Indians,Allrounder,485.5
36,Kartik Tyagi,Kolkata Knight Riders,Bowler,462.8
37,Harsh Dubey,Sunrisers Hyderabad,Bowling Allrounder,461.4
38,Tristan Stubbs,Delhi Capitals,Batter,451.25
39,Sai Sudharsan,Gujarat Titans,Top order Batter,450.5
40,AM Ghazanfar,Mumbai Indians,Bowler,449.0
41,Arshdeep Singh,Punjab Kings,Bowler,445.2
42,Tim David,Royal Challengers Bengaluru,Middle order Batter,443.1
43,Noor Ahmad,Chennai Super Kings,Bowler,442.0
44,Mohammed Siraj,Gujarat Titans,Bowler,434.4
45,Sunil Narine,Kolkata Knight Riders,Bowling Allrounder,417.15
46,Lungi Ngidi,Delhi Capitals,Bowler,405.2
47,Kuldeep Yadav,Delhi Capitals,Bowler,404.2
48,Brijesh Sharma,Rajasthan Royals,Bowler,394.4
49,Axar Patel,Delhi Capitals,Allrounder,394.25
50,Mitchell Marsh,Lucknow Super Giants,Allrounder,389.0
51,Ayush Mhatre,Chennai Super Kings,Top order Batter,388.75
52,Sarfaraz Khan,Chennai Super Kings,Middle order Batter,374.5
53,Angkrish Raghuvanshi,Kolkata Knight Riders,Top order Batter,374.0
54,Varun Chakravarthy,Kolkata Knight Riders,Bowler,365.6
55,Sakib Hussain,Sunrisers Hyderabad,Bowler,361.4
56,Jacob Duffy,Royal Challengers Bengaluru,Bowler,352.6
57,Travis Head,Sunrisers Hyderabad,Middle order Batter,347.75
58,Naman Dhir,Mumbai Indians,Allrounder,347.75
59,Vaibhav Arora,Kolkata Knight Riders,Bowler,344.8
60,Nitish Rana,Delhi Capitals,Middle order Batter,344.75
61,Washington Sundar,Gujarat Titans,Bowling Allrounder,343.45
62,Donovan Ferreira,Rajasthan Royals,Allrounder,343.3
63,Mukul Choudhary,Lucknow Super Giants,Middle order Batter,342.75
64,Rishabh Pant,Lucknow Super Giants,Wicketkeeper Batter,338.0
65,Praful Hinge,Sunrisers Hyderabad,Bowler,337.6
66,Xavier Bartlett,Punjab Kings,Bowler,335.4
67,Akeal Hosein,Chennai Super Kings,Bowler,333.6
68,Cameron Green,Kolkata Knight Riders,Allrounder,333.5
69,Ashwani Kumar,Mumbai Indians,Bowler,331.2
70,Vijaykumar Vyshak,Punjab Kings,Bowler,329.8
71,Shashank Singh,Punjab Kings,Allrounder,328.05
72,Shivang Kumar,Sunrisers Hyderabad,Bowling Allrounder,326.8
73,Marco Jansen,Punjab Kings,Bowling Allrounder,322.5
74,Josh Hazlewood,Royal Challengers Bengaluru,Bowler,318.4
75,Aiden Markram,Lucknow Super Giants,Middle order Batter,316.25
76,Pathum Nissanka,Delhi Capitals,Top order Batter,312.25
77,Ashok Sharma,Gujarat Titans,Bowler,309.6
78,Mohsin Khan,Lucknow Super Giants,Bowler,306.8
79,Mitchell Santner,Mumbai Indians,Bowling Allrounder,306.25
80,Rasikh Salam,Royal Challengers Bengaluru,Bowler,295.0
81,Shivam Dube,Chennai Super Kings,Allrounder,291.5
82,Quinton de Kock,Mumbai Indians,Wicketkeeper Batter,289.75
83,Anukul Roy,Kolkata Knight Riders,Allrounder,288.45
